source,target,relation,weight
72,31,Leadership,{'weight': 20.019153810582395}
72,31,Responding,{'weight': 10.56087744166043}
72,31,Seeking Help,{'weight': 8.481219781099517}
72,31,Morale,{'weight': 4.7662250029404065}
72,31,Seeking Input,{'weight': 1.522739397216666}
72,31,Monitoring,{'weight': 1.6497845665005888}
72,1,Morale,{'weight': 0.6336913225737218}
72,1,Leadership,{'weight': 0.233122009623613}
72,1,Responding,{'weight': 0.08576079462509835}
72,1,Seeking Help,{'weight': 0.03154963320110002}
72,1,Seeking Input,{'weight': 0.011606461431184656}
72,1,Monitoring,{'weight': 0.00426977854528211}
72,11,Morale,{'weight': 1.1103222928279335}
72,11,Leadership,{'weight': 1.5204551806712243}
72,11,Responding,{'weight': 3.1725308987923095}
72,11,Seeking Help,{'weight': 1.4203169920984429}
72,11,Seeking Input,{'weight': 0.11279486321939261}
72,11,Monitoring,{'weight': 0.6635797723906965}
72,29,Seeking Help,{'weight': 2.13827026326848}
72,29,Leadership,{'weight': 2.538839576218588}
72,29,Responding,{'weight': 1.9909090482699652}
72,29,Morale,{'weight': 0.22084743240770013}
72,29,Seeking Input,{'weight': 0.08124523001829259}
72,29,Monitoring,{'weight': 0.02988844981697477}
72,20,Leadership,{'weight': 0.9525741268224331}
72,20,Responding,{'weight': 0.9525741268224333}
72,20,Seeking Help,{'weight': 0.7510017503999202}
72,20,Morale,{'weight': 0.29622127602581305}
72,20,Seeking Input,{'weight': 0.03481938429355397}
72,20,Monitoring,{'weight': 0.012809335635846332}
72,32,Leadership,{'weight': 3.032558942743213}
72,32,Responding,{'weight': 1.7377009503183707}
72,32,Seeking Help,{'weight': 1.2414061438988284}
72,32,Morale,{'weight': 0.8772002832043203}
72,32,Seeking Input,{'weight': 0.08124523001829259}
72,32,Monitoring,{'weight': 0.02988844981697477}
72,0,Responding,{'weight': 4.104883374858948}
72,0,Seeking Help,{'weight': 3.238083816742859}
72,0,Morale,{'weight': 2.66436999323826}
72,0,Seeking Input,{'weight': 1.1466142200601186}
72,0,Leadership,{'weight': 6.660421710549102}
72,0,Monitoring,{'weight': 0.18562688455071208}
72,10,Responding,{'weight': 0.6336913225737218}
72,10,Seeking Help,{'weight': 0.233122009623613}
72,10,Morale,{'weight': 0.08576079462509835}
72,10,Seeking Input,{'weight': 0.03154963320110002}
72,10,Leadership,{'weight': 0.011606461431184656}
72,10,Monitoring,{'weight': 0.00426977854528211}
72,34,Responding,{'weight': 0.9525741268224333}
72,34,Seeking Help,{'weight': 0.5520048138723244}
72,34,Leadership,{'weight': 1.3531434397725421}
72,34,Morale,{'weight': 0.09464889960330006}
72,34,Seeking Input,{'weight': 0.03481938429355397}
72,34,Monitoring,{'weight': 0.012809335635846332}
72,28,Responding,{'weight': 1.0999353418209479}
72,28,Seeking Help,{'weight': 0.4046435988738097}
72,28,Leadership,{'weight': 1.3531434397725421}
72,28,Morale,{'weight': 0.09464889960330006}
72,28,Seeking Input,{'weight': 0.03481938429355397}
72,28,Monitoring,{'weight': 0.012809335635846332}
72,30,Responding,{'weight': 2.1423445491921806}
72,30,Seeking Help,{'weight': 2.1939802707212617}
72,30,Leadership,{'weight': 4.5872747589382685}
72,30,Morale,{'weight': 0.917638021383622}
72,30,Seeking Input,{'weight': 0.11606461431184656}
72,30,Monitoring,{'weight': 0.04269778545282111}
72,46,Leadership,{'weight': 4.299941587890657}
72,46,Responding,{'weight': 2.2039449695655966}
72,46,Seeking Help,{'weight': 1.7935538743292185}
72,46,Morale,{'weight': 0.4855190752324132}
72,46,Seeking Input,{'weight': 0.17861248607457558}
72,46,Monitoring,{'weight': 0.038428006907538996}
72,62,Leadership,{'weight': 3.496227522095522}
72,62,Responding,{'weight': 1.5077057752291458}
72,62,Seeking Help,{'weight': 2.334147719391939}
72,62,Morale,{'weight': 1.1418719260290335}
72,62,Seeking Input,{'weight': 0.3186370181871877}
72,62,Monitoring,{'weight': 0.20141003906717145}
72,6,Leadership,{'weight': 2.7678872999185002}
72,6,Responding,{'weight': 1.0182488331195505}
72,6,Seeking Help,{'weight': 0.9767345010741152}
72,6,Morale,{'weight': 0.1577481660055001}
72,6,Seeking Input,{'weight': 0.05803230715592328}
72,6,Monitoring,{'weight': 0.02134889272641055}
72,74,Leadership,{'weight': 0.6336913225737218}
72,74,Responding,{'weight': 0.233122009623613}
72,74,Seeking Help,{'weight': 0.08576079462509835}
72,74,Morale,{'weight': 0.03154963320110002}
72,74,Seeking Input,{'weight': 0.011606461431184656}
72,74,Monitoring,{'weight': 0.00426977854528211}
72,37,Leadership,{'weight': 0.6336913225737218}
72,37,Responding,{'weight': 0.233122009623613}
72,37,Seeking Help,{'weight': 0.08576079462509835}
72,37,Morale,{'weight': 0.03154963320110002}
72,37,Seeking Input,{'weight': 0.011606461431184656}
72,37,Monitoring,{'weight': 0.00426977854528211}
20,0,Seeking Help,{'weight': 19.794839882187805}
20,0,Leadership,{'weight': 29.611526873246987}
20,0,Responding,{'weight': 21.312222318082153}
20,0,Morale,{'weight': 6.111514663671995}
20,0,Seeking Input,{'weight': 10.100524757374142}
20,0,Monitoring,{'weight': 1.0693715054369402}
20,29,Seeking Help,{'weight': 2.3057175665949754}
20,29,Leadership,{'weight': 1.8236572375650502}
20,29,Responding,{'weight': 1.5045789406947576}
20,29,Morale,{'weight': 0.24350896063059843}
20,29,Seeking Input,{'weight': 0.0895819403570233}
20,29,Monitoring,{'weight': 0.03295535415759521}
20,30,Responding,{'weight': 0.7194521171988202}
20,30,Seeking Help,{'weight': 0.8668133321973348}
20,30,Leadership,{'weight': 0.31888280424871135}
20,30,Morale,{'weight': 0.06309926640220004}
20,30,Seeking Input,{'weight': 0.023212922862369312}
20,30,Monitoring,{'weight': 0.00853955709056422}
20,31,Leadership,{'weight': 0.6336913225737218}
20,31,Responding,{'weight': 0.23312200962361296}
20,31,Seeking Help,{'weight': 0.08576079462509835}
20,31,Morale,{'weight': 0.03154963320110002}
20,31,Seeking Input,{'weight': 0.011606461431184656}
20,31,Monitoring,{'weight': 0.00426977854528211}
20,17,Seeking Help,{'weight': 0.7194521171988202}
20,17,Leadership,{'weight': 0.8668133321973348}
20,17,Responding,{'weight': 0.31888280424871135}
20,17,Morale,{'weight': 0.06309926640220004}
20,17,Seeking Input,{'weight': 0.023212922862369312}
20,17,Monitoring,{'weight': 0.00853955709056422}
20,32,Leadership,{'weight': 1.2673826451474437}
20,32,Responding,{'weight': 0.46624401924722597}
20,32,Seeking Help,{'weight': 0.1715215892501967}
20,32,Morale,{'weight': 0.06309926640220004}
20,32,Seeking Input,{'weight': 0.023212922862369312}
20,32,Monitoring,{'weight': 0.00853955709056422}
20,46,Leadership,{'weight': 23.14867888543074}
20,46,Responding,{'weight': 14.517102668064659}
20,46,Seeking Help,{'weight': 12.356093272608739}
20,46,Morale,{'weight': 2.8795619787099866}
20,46,Seeking Input,{'weight': 3.5956908562059198}
20,46,Monitoring,{'weight': 0.5028723389799711}
20,34,Responding,{'weight': 6.2949249220843235}
20,34,Seeking Help,{'weight': 4.994916049869646}
20,34,Leadership,{'weight': 5.665503378055884}
20,34,Morale,{'weight': 0.9028719248163497}
20,34,Seeking Input,{'weight': 0.9791669167336221}
20,34,Monitoring,{'weight': 0.16261680844017626}
20,19,Leadership,{'weight': 4.431433917042956}
20,19,Morale,{'weight': 1.1424233206685044}
20,19,Seeking Input,{'weight': 1.4576015926532038}
20,19,Monitoring,{'weight': 0.07851719719920325}
20,19,Responding,{'weight': 2.232375122362561}
20,19,Seeking Help,{'weight': 2.65764885007357}
20,10,Leadership,{'weight': 1.2673826451474437}
20,10,Responding,{'weight': 0.46624401924722597}
20,10,Seeking Help,{'weight': 0.1715215892501967}
20,10,Morale,{'weight': 0.06309926640220004}
20,10,Seeking Input,{'weight': 0.023212922862369312}
20,10,Monitoring,{'weight': 0.00853955709056422}
20,6,Leadership,{'weight': 4.284268194666024}
20,6,Responding,{'weight': 1.80764543516077}
20,6,Seeking Help,{'weight': 2.5672697290155524}
20,6,Morale,{'weight': 0.4781298162829952}
20,6,Seeking Input,{'weight': 0.7780358189942143}
20,6,Monitoring,{'weight': 0.08465100588044411}
20,47,Leadership,{'weight': 2.706286879545084}
20,47,Responding,{'weight': 1.197159681319165}
20,47,Seeking Help,{'weight': 0.9883409625052998}
20,47,Morale,{'weight': 0.1620179445507822}
20,47,Seeking Input,{'weight': 0.691723629729645}
20,47,Monitoring,{'weight': 0.25447090235002356}
20,77,Leadership,{'weight': 0.6336913225737218}
20,77,Responding,{'weight': 0.233122009623613}
20,77,Seeking Help,{'weight': 0.08576079462509835}
20,77,Morale,{'weight': 0.03154963320110002}
20,77,Seeking Input,{'weight': 0.011606461431184656}
20,77,Monitoring,{'weight': 0.00426977854528211}
20,63,Leadership,{'weight': 0.6336913225737218}
20,63,Responding,{'weight': 0.233122009623613}
20,63,Seeking Help,{'weight': 0.08576079462509835}
20,63,Morale,{'weight': 0.03154963320110002}
20,63,Seeking Input,{'weight': 0.011606461431184656}
20,63,Monitoring,{'weight': 0.00426977854528211}
0,20,Responding,{'weight': 59.09047571676455}
0,20,Seeking Help,{'weight': 27.082420091602682}
0,20,Leadership,{'weight': 75.7745628883795}
