source,target,relation,weight
72,3,Responding,{'weight': 2.3713922728920926}
72,3,Seeking Help,{'weight': 0.49617301807297387}
72,3,Seeking Input,{'weight': 0.16700602464339093}
72,3,Monitoring,{'weight': 0.06143808301807479}
72,78,Leadership,{'weight': 0.6336913225737218}
72,78,Responding,{'weight': 0.233122009623613}
72,78,Seeking Help,{'weight': 0.08576079462509835}
72,78,Morale,{'weight': 0.03154963320110002}
72,78,Seeking Input,{'weight': 0.011606461431184656}
72,78,Monitoring,{'weight': 0.00426977854528211}
72,4,Leadership,{'weight': 0.6336913225737218}
72,4,Responding,{'weight': 0.233122009623613}
72,4,Seeking Help,{'weight': 0.08576079462509835}
72,4,Morale,{'weight': 0.03154963320110002}
72,4,Seeking Input,{'weight': 0.011606461431184656}
72,4,Monitoring,{'weight': 0.00426977854528211}
20,0,Seeking Help,{'weight': 52.80873977697827}
20,0,Leadership,{'weight': 77.59700132915474}
20,0,Responding,{'weight': 65.0735066452846}
20,0,Morale,{'weight': 26.62293058993302}
20,0,Seeking Input,{'weight': 19.110778219043357}
20,0,Monitoring,{'weight': 6.7870434396062125}
20,29,Seeking Help,{'weight': 2.3057175665949754}
20,29,Leadership,{'weight': 1.8236572375650502}
20,29,Responding,{'weight': 1.5045789406947576}
20,29,Morale,{'weight': 0.24350896063059843}
20,29,Seeking Input,{'weight': 0.0895819403570233}
20,29,Monitoring,{'weight': 0.03295535415759521}
20,30,Responding,{'weight': 0.7194521171988202}
20,30,Seeking Help,{'weight': 0.8668133321973348}
20,30,Leadership,{'weight': 0.31888280424871135}
20,30,Morale,{'weight': 0.06309926640220004}
20,30,Seeking Input,{'weight': 0.023212922862369312}
20,30,Monitoring,{'weight': 0.00853955709056422}
20,31,Leadership,{'weight': 0.6336913225737218}
20,31,Responding,{'weight': 0.23312200962361296}
20,31,Seeking Help,{'weight': 0.08576079462509835}
20,31,Morale,{'weight': 0.03154963320110002}
20,31,Seeking Input,{'weight': 0.011606461431184656}
20,31,Monitoring,{'weight': 0.00426977854528211}
20,17,Seeking Help,{'weight': 0.7626082118311048}
20,17,Leadership,{'weight': 1.7336266643946696}
20,17,Responding,{'weight': 0.6377656084974227}
20,17,Morale,{'weight': 0.16046652245848303}
20,17,Seeking Input,{'weight': 0.6611740239813733}
20,17,Monitoring,{'weight': 0.04435896883694635}
20,32,Leadership,{'weight': 1.2673826451474437}
20,32,Responding,{'weight': 0.46624401924722597}
20,32,Seeking Help,{'weight': 0.1715215892501967}
20,32,Morale,{'weight': 0.06309926640220004}
20,32,Seeking Input,{'weight': 0.023212922862369312}
20,32,Monitoring,{'weight': 0.00853955709056422}
20,46,Leadership,{'weight': 52.47945502912478}
20,46,Responding,{'weight': 31.11973555490758}
20,46,Seeking Help,{'weight': 34.30739881850235}
20,46,Morale,{'weight': 11.330930876902624}
20,46,Seeking Input,{'weight': 6.455349152318206}
20,46,Monitoring,{'weight': 2.3071305682445553}
20,34,Responding,{'weight': 13.154077515812084}
20,34,Seeking Help,{'weight': 11.75319227033813}
20,34,Leadership,{'weight': 17.935167064568617}
20,34,Morale,{'weight': 3.8290784832810827}
20,34,Seeking Input,{'weight': 3.026168039770281}
20,34,Monitoring,{'weight': 0.3023166262298239}
20,19,Leadership,{'weight': 16.58807808248627}
20,19,Morale,{'weight': 5.300057550106482}
20,19,Seeking Input,{'weight': 2.3874858525262117}
20,19,Monitoring,{'weight': 1.7348938815604966}
20,19,Responding,{'weight': 11.423487345457243}
20,19,Seeking Help,{'weight': 11.565997287863302}
20,10,Leadership,{'weight': 6.290850636160623}
20,10,Responding,{'weight': 3.0248386287444}
20,10,Seeking Help,{'weight': 4.41820682123642}
20,10,Morale,{'weight': 1.3085081970127352}
20,10,Seeking Input,{'weight': 0.8077882440414912}
20,10,Monitoring,{'weight': 0.14980747280432996}
20,6,Leadership,{'weight': 5.384203536486972}
20,6,Responding,{'weight': 2.064927819036065}
20,6,Seeking Help,{'weight': 4.067774383786609}
20,6,Morale,{'weight': 0.5727787158862954}
20,6,Seeking Input,{'weight': 0.8128552032877681}
20,6,Monitoring,{'weight': 0.09746034151629045}
20,47,Leadership,{'weight': 5.45578978391622}
20,47,Responding,{'weight': 3.984802014516251}
20,47,Seeking Help,{'weight': 5.063504605241327}
20,47,Morale,{'weight': 1.561172254455111}
20,47,Seeking Input,{'weight': 1.5055788604702414}
20,47,Monitoring,{'weight': 0.429152481400848}
20,77,Leadership,{'weight': 0.6336913225737218}
20,77,Responding,{'weight': 0.233122009623613}
20,77,Seeking Help,{'weight': 0.08576079462509835}
20,77,Morale,{'weight': 0.03154963320110002}
20,77,Seeking Input,{'weight': 0.011606461431184656}
20,77,Monitoring,{'weight': 0.00426977854528211}
20,63,Leadership,{'weight': 0.6336913225737218}
20,63,Responding,{'weight': 0.233122009623613}
20,63,Seeking Help,{'weight': 0.08576079462509835}
20,63,Morale,{'weight': 0.03154963320110002}
20,63,Seeking Input,{'weight': 0.011606461431184656}
20,63,Monitoring,{'weight': 0.00426977854528211}
0,20,Responding,{'weight': 123.35983783334275}
0,20,Seeking Help,{'weight': 53.54067077292195}
0,20,Leadership,{'weight': 156.4607785570406}
0,20,Morale,{'weight': 51.39838612175716}
0,20,Seeking Input,{'weight': 30.053464269879417}
0,20,Monitoring,{'weight': 7.186862445058961}
0,29,Responding,{'weight': 12.483671906166178}
0,29,Seeking Help,{'weight': 9.218078432155606}
0,29,Leadership,{'weight': 15.126860867753372}
0,29,Morale,{'weight': 4.903349537620253}
0,29,Seeking Input,{'weight': 3.928242034944276}
0,29,Monitoring,{'weight': 0.3397972213603313}
0,30,Seeking Input,{'weight': 1.1072865176126652}
0,30,Leadership,{'weight': 15.523685601384855}
0,30,Responding,{'weight': 11.286564800910531}
0,30,Seeking Help,{'weight': 6.041082262196433}
0,30,Morale,{'weight': 4.638670540665284}
0,30,Monitoring,{'weight': 0.40271027723023567}
0,17,Seeking Input,{'weight': 7.179321654337951}
0,17,Responding,{'weight': 31.718917911851232}
0,17,Seeking Help,{'weight': 18.237528255438452}
0,17,Morale,{'weight': 7.76902558682824}
0,17,Leadership,{'weight': 36.00966330819571}
0,17,Monitoring,{'weight': 2.085543283348429}
0,1,Seeking Input,{'weight': 0.6569042454360912}
0,1,Responding,{'weight': 1.0999353418209479}
0,1,Seeking Help,{'weight': 0.40464359887380974}
0,1,Morale,{'weight': 0.09464889960330006}
0,1,Leadership,{'weight': 0.7310585786300049}
0,1,Monitoring,{'weight': 0.012809335635846332}
0,32,Leadership,{'weight': 25.307857264696693}
0,32,Responding,{'weight': 23.337092886504173}
0,32,Seeking Help,{'weight': 10.478246858449896}
0,32,Morale,{'weight': 8.355440635531915}
0,32,Seeking Input,{'weight': 4.105167428821396}
0,32,Monitoring,{'weight': 0.41619492599594565}
0,31,Leadership,{'weight': 125.36903359379}
0,31,Responding,{'weight': 94.57743491797979}
0,31,Seeking Help,{'weight': 48.510938202274424}
0,31,Morale,{'weight': 31.93009504764267}
0,31,Seeking Input,{'weight': 18.187222460932166}
0,31,Monitoring,{'weight': 4.425275777381582}
0,10,Seeking Input,{'weight': 3.9373095040997783}
0,10,Leadership,{'weight': 41.84239001461479}
0,10,Responding,{'weight': 34.54325340390902}
0,10,Seeking Help,{'weight': 17.431116961401827}
0,10,Morale,{'weight': 9.902002053748829}
0,10,Monitoring,{'weight': 3.3439280622258516}
0,11,Seeking Input,{'weight': 1.2192769536781551}
0,11,Leadership,{'weight': 10.30843556838342}
0,11,Responding,{'weight': 12.455768301040186}
0,11,Seeking Help,{'weight': 5.708146699098438}
0,11,Morale,{'weight': 2.911337700071347}
0,11,Monitoring,{'weight': 0.3970347777284582}
0,37,Seeking Input,{'weight': 1.500511901223964}
0,37,Leadership,{'weight': 9.007102214550041}
0,37,Responding,{'weight': 5.878539299351515}
0,37,Seeking Help,{'weight': 1.6031277618116755}
0,37,Morale,{'weight': 2.6848645596476466}
0,37,Monitoring,{'weight': 0.3258542634151576}
0,62,Responding,{'weight': 45.514184023451826}
0,62,Seeking Help,{'weight': 19.366388177117187}
0,62,Leadership,{'weight': 59.16857573470289}
0,62,Morale,{'weight': 10.764138760690976}
0,62,Seeking Input,{'weight': 6.928168623089816}
0,62,Monitoring,{'weight': 1.2585446809474528}
0,25,Responding,{'weight': 0.6336913225737218}
0,25,Seeking Help,{'weight': 0.233122009623613}
0,25,Leadership,{'weight': 0.08576079462509835}
0,25,Morale,{'weight': 0.03154963320110002}
0,25,Seeking Input,{'weight': 0.011606461431184656}
0,25,Monitoring,{'weight': 0.00426977854528211}
0,72,Morale,{'weight': 2.5573035998609814}
0,72,Seeking Input,{'weight': 1.0989425608210273}
0,72,Monitoring,{'weight': 0.25691716015583876}
0,72,Leadership,{'weight': 8.888715192857712}
0,72,Responding,{'weight': 5.644274345717007}
0,72,Seeking Help,{'weight': 3.5538471405874343}
0,63,Leadership,{'weight': 14.727103443764765}
0,63,Responding,{'weight': 18.649349375769333}
0,63,Seeking Help,{'weight': 8.620472082851606}
0,63,Morale,{'weight': 5.188463170790834}
0,63,Seeking Input,{'weight': 3.4751632533507815}
0,63,Monitoring,{'weight': 1.3394486734726938}
0,6,Leadership,{'weight': 18.18764069659072}
0,6,Responding,{'weight': 16.274220734307576}
0,6,Seeking Help,{'weight': 9.06211580191373}
0,6,Morale,{'weight': 6.547971851710172}
0,6,Seeking Input,{'weight': 5.347957338963302}
0,6,Monitoring,{'weight': 0.5800935765145052}
0,46,Leadership,{'weight': 117.38803832193767}
0,46,Responding,{'weight': 95.83516203497885}
0,46,Seeking Help,{'weight': 53.90030275295386}
0,46,Morale,{'weight': 40.127173202391674}
0,46,Seeking Input,{'weight': 27.972622444920106}
0,46,Monitoring,{'weight': 4.7767012428185165}
0,69,Leadership,{'weight': 10.730959672721958}
0,69,Responding,{'weight': 6.860968720724682}
0,69,Seeking Help,{'weight': 3.58093150262167}
0,69,Morale,{'weight': 1.5951732522756186}
0,69,Seeking Input,{'weight': 1.1221554836833967}
0,69,Monitoring,{'weight': 0.10981136797267323}
0,34,Seeking Input,{'weight': 9.082534137468745}
0,34,Morale,{'weight': 16.33078253417334}
0,34,Monitoring,{'weight': 2.841132295446574}
0,34,Leadership,{'weight': 54.23968472981598}
0,34,Responding,{'weight': 45.27131393581693}
0,34,Seeking Help,{'weight': 20.234552367278557}
0,61,Leadership,{'weight': 8.343360104804004}
0,61,Responding,{'weight': 6.519567304811138}
0,61,Seeking Help,{'weight': 2.978985305870631}
0,61,Morale,{'weight': 2.6622030314247485}
0,61,Seeking Input,{'weight': 1.3204581090134555}
0,61,Monitoring,{'weight': 0.17542614407602256}
0,73,Seeking Help,{'weight': 2.341341485719776}
0,73,Leadership,{'weight': 3.344052488042507}
0,73,Responding,{'weight': 3.0366332286669135}
0,73,Morale,{'weight': 1.1192103978061352}
0,73,Seeking Input,{'weight': 0.11606461431184656}
0,73,Monitoring,{'weight': 0.04269778545282111}
0,33,Seeking Help,{'weight': 2.8202823343455643}
0,33,Leadership,{'weight': 4.08250032562193}
0,33,Responding,{'weight': 3.704449624336653}
0,33,Morale,{'weight': 0.33137257198746695}
0,33,Seeking Input,{'weight': 0.9828779465091813}
0,33,Monitoring,{'weight': 0.07851719719920323}
0,28,Responding,{'weight': 2.1382702632684794}
0,28,Seeking Input,{'weight': 0.9248456393532581}
0,28,Seeking Help,{'weight': 1.2414061438988284}
0,28,Monitoring,{'weight': 0.0571683044727927}
0,28,Leadership,{'weight': 2.4646852430246744}
0,28,Morale,{'weight': 0.17362440598196685}
0,16,Leadership,{'weight': 6.123598825455708}
0,16,Seeking Help,{'weight': 1.6200732415240229}
0,16,Responding,{'weight': 4.657023751159086}
0,16,Morale,{'weight': 0.4676261441307525}
0,16,Seeking Input,{'weight': 2.060294676665297}
0,16,Monitoring,{'weight': 0.07138336106513421}
0,109,Leadership,{'weight': 0.6336913225737218}
0,109,Responding,{'weight': 0.233122009623613}
0,109,Seeking Help,{'weight': 0.08576079462509835}
0,109,Morale,{'weight': 0.03154963320110002}
0,109,Seeking Input,{'weight': 0.011606461431184656}
0,109,Monitoring,{'weight': 0.00426977854528211}
0,74,Leadership,{'weight': 8.133308101484694}
0,74,Responding,{'weight': 6.831113426173949}
0,74,Seeking Help,{'weight': 4.1262865906753765}
0,74,Morale,{'weight': 2.6581360996313004}
0,74,Seeking Input,{'weight': 2.0325735433263743}
0,74,Monitoring,{'weight': 0.21858223870830723}
0,7,Seeking Help,{'weight': 0.6652409557748219}
0,7,Leadership,{'weight': 0.466244019247226}
0,7,Responding,{'weight': 0.1715215892501967}
0,7,Morale,{'weight': 0.043156094632284675}
0,7,Seeking Input,{'weight': 0.6452977840049066}
0,7,Monitoring,{'weight': 0.00853955709056422}
0,77,Leadership,{'weight': 120.33674236233794}
0,77,Responding,{'weight': 113.05770855956342}
0,77,Seeking Help,{'weight': 59.99038562938905}
0,77,Morale,{'weight': 29.728564353951647}
0,77,Seeking Input,{'weight': 19.77848504765999}
0,77,Monitoring,{'weight': 7.108114047098498}
0,4,Leadership,{'weight': 121.51171363042303}
0,4,Responding,{'weight': 97.76989877227342}
0,4,Seeking Help,{'weight': 51.36203856602987}
0,4,Morale,{'weight': 34.24511283267057}
0,4,Seeking Input,{'weight': 20.81259552017286}
0,4,Monitoring,{'weight': 8.298640678430862}
0,5,Monitoring,{'weight': 2.682345914827623}
0,5,Leadership,{'weight': 43.03927485232132}
0,5,Responding,{'weight': 36.069477209154314}
0,5,Seeking Help,{'weight': 18.40277065158787}
0,5,Morale,{'weight': 11.5420899619494}
0,5,Seeking Input,{'weight': 11.264041410159589}
0,84,Leadership,{'weight': 3.4988029619904393}
0,84,Responding,{'weight': 2.002372593143084}
0,84,Seeking Help,{'weight': 1.813497046099134}
0,84,Morale,{'weight': 1.4682869057852286}
0,84,Seeking Input,{'weight': 0.09712146999475936}
0,84,Monitoring,{'weight': 0.11991902298735524}
0,93,Responding,{'weight': 0.6336913225737218}
0,93,Leadership,{'weight': 0.233122009623613}
0,93,Seeking Help,{'weight': 0.08576079462509835}
0,93,Morale,{'weight': 0.03154963320110002}
0,93,Seeking Input,{'weight': 0.011606461431184656}
0,93,Monitoring,{'weight': 0.00426977854528211}
0,56,Leadership,{'weight': 5.17097212256976}
0,56,Responding,{'weight': 4.338140946910374}
0,56,Seeking Help,{'weight': 1.9964821802224497}
0,56,Morale,{'weight': 0.4244700494984679}
0,56,Seeking Input,{'weight': 1.014427579710281}
0,56,Monitoring,{'weight': 0.05550712108866745}
0,48,Seeking Input,{'weight': 1.3337516626420975}
0,48,Leadership,{'weight': 0.6735850202438048}
0,48,Responding,{'weight': 1.15564534927373}
0,48,Seeking Help,{'weight': 2.1972952437469786}
0,48,Morale,{'weight': 0.6067673699357937}
0,48,Monitoring,{'weight': 0.03295535415759521}
0,45,Responding,{'weight': 0.6336913225737218}
0,45,Leadership,{'weight': 0.233122009623613}
0,45,Seeking Help,{'weight': 0.08576079462509835}
0,45,Morale,{'weight': 0.03154963320110002}
0,45,Seeking Input,{'weight': 0.011606461431184656}
0,45,Monitoring,{'weight': 0.00426977854528211}
0,8,Leadership,{'weight': 21.866239243398585}
0,8,Seeking Help,{'weight': 12.638140001438703}
0,8,Responding,{'weight': 16.98749660546964}
0,8,Morale,{'weight': 5.598660978468645}
0,8,Seeking Input,{'weight': 6.303495500622895}
0,8,Monitoring,{'weight': 0.6059676706015469}
0,23,Leadership,{'weight': 1.4188181460696594}
0,23,Seeking Help,{'weight': 1.0156733932246333}
0,23,Morale,{'weight': 1.0156733932246333}
0,23,Seeking Input,{'weight': 0.07797547892583864}
0,23,Monitoring,{'weight': 0.028685575612313094}
0,23,Responding,{'weight': 1.4431740129429225}
0,3,Morale,{'weight': 23.92275937497888}
0,3,Leadership,{'weight': 93.64648947740211}
0,3,Responding,{'weight': 74.94701475150183}
0,3,Seeking Help,{'weight': 48.573430253949184}
0,3,Seeking Input,{'weight': 19.308586891444932}
0,3,Monitoring,{'weight': 2.6017192507233617}
0,19,Leadership,{'weight': 17.908235757800433}
0,19,Responding,{'weight': 13.615156881188227}
0,19,Seeking Help,{'weight': 6.609385568207871}
0,19,Morale,{'weight': 6.486092095732177}
0,19,Seeking Input,{'weight': 3.9916870646563707}
0,19,Monitoring,{'weight': 1.3894426324149256}
0,47,Seeking Input,{'weight': 2.549453256649856}
0,47,Leadership,{'weight': 9.452183551603156}
0,47,Responding,{'weight': 9.360661486534239}
0,47,Seeking Help,{'weight': 3.0531469931947965}
0,47,Morale,{'weight': 2.3604998205597068}
0,47,Monitoring,{'weight': 0.22405489145825108}
0,79,Responding,{'weight': 28.170309129409894}
0,79,Leadership,{'weight': 29.665365496433548}
0,79,Seeking Help,{'weight': 12.564096645125238}
0,79,Morale,{'weight': 10.258701262967852}
0,79,Seeking Input,{'weight': 6.928442383717846}
0,79,Monitoring,{'weight': 1.4130850823456347}
0,78,Leadership,{'weight': 4.080388226800874}
0,78,Responding,{'weight': 6.609733440409334}
0,78,Seeking Help,{'weight': 2.230012667927468}
0,78,Morale,{'weight': 1.392920416297368}
0,78,Seeking Input,{'weight': 3.35922695501384}
0,78,Monitoring,{'weight': 0.3277182935511165}
0,102,Leadership,{'weight': 0.6336913225737218}
0,102,Seeking Help,{'weight': 0.233122009623613}
0,102,Responding,{'weight': 0.08576079462509835}
0,102,Morale,{'weight': 0.03154963320110002}
0,102,Seeking Input,{'weight': 0.011606461431184656}
0,102,Monitoring,{'weight': 0.00426977854528211}
0,104,Responding,{'weight': 1.2673826451474437}
0,104,Leadership,{'weight': 0.466244019247226}
0,104,Seeking Help,{'weight': 0.1715215892501967}
0,104,Morale,{'weight': 0.06309926640220004}
0,104,Seeking Input,{'weight': 0.023212922862369312}
0,104,Monitoring,{'weight': 0.00853955709056422}
62,0,Leadership,{'weight': 41.548194132288735}
62,0,Responding,{'weight': 32.23265701655909}
62,0,Seeking Help,{'weight': 11.191766484342473}
62,0,Morale,{'weight': 10.166096106521268}
62,0,Seeking Input,{'weight': 3.4739392868725067}
62,0,Monitoring,{'weight': 2.3873469734160158}
62,25,Leadership,{'weight': 1.2673826451474437}
62,25,Responding,{'weight': 0.466244019247226}
62,25,Seeking Help,{'weight': 0.1715215892501967}
62,25,Morale,{'weight': 0.06309926640220004}
62,25,Seeking Input,{'weight': 0.023212922862369312}
62,25,Monitoring,{'weight': 0.00853955709056422}
62,11,Leadership,{'weight': 9.06612719502854}
62,11,Responding,{'weight': 6.370564327225774}
62,11,Seeking Help,{'weight': 1.4710913921501563}
62,11,Morale,{'weight': 1.4490315477013034}
62,11,Seeking Input,{'weight': 1.476298950908767}
62,11,Monitoring,{'weight': 0.16688658698545836}
62,32,Responding,{'weight': 13.143670785037905}
62,32,Leadership,{'weight': 11.093211557062777}
62,32,Seeking Help,{'weight': 4.663429900284569}
62,32,Morale,{'weight': 2.743033285850089}
62,32,Seeking Input,{'weight': 2.0754312758336204}
62,32,Monitoring,{'weight': 0.28122319593104367}
62,31,Responding,{'weight': 20.40325712928797}
62,31,Leadership,{'weight': 24.87920356225952}
62,31,Seeking Help,{'weight': 6.895845848759889}
62,31,Morale,{'weight': 7.756439632335481}
62,31,Seeking Input,{'weight': 8.501595279201124}
62,31,Monitoring,{'weight': 2.5636585481560408}
62,29,Responding,{'weight': 1.333057351444561}
62,29,Leadership,{'weight': 2.1341959773447785}
62,29,Seeking Help,{'weight': 0.3430431785003934}
62,29,Morale,{'weight': 0.12619853280440008}
62,29,Seeking Input,{'weight': 0.046425845724738624}
62,29,Monitoring,{'weight': 0.01707911418112844}
62,6,Responding,{'weight': 4.548887261427222}
62,6,Seeking Input,{'weight': 1.1011884017882079}
62,6,Seeking Help,{'weight': 1.1771472972661967}
62,6,Morale,{'weight': 2.5608329886567587}
62,6,Monitoring,{'weight': 0.9483974337371585}
62,6,Leadership,{'weight': 2.6635466171244566}
62,63,Leadership,{'weight': 0.6336913225737218}
62,63,Seeking Help,{'weight': 0.233122009623613}
62,63,Morale,{'weight': 0.08576079462509835}
62,63,Seeking Input,{'weight': 0.03154963320110002}
62,63,Responding,{'weight': 0.011606461431184656}
62,63,Monitoring,{'weight': 0.00426977854528211}
62,72,Responding,{'weight': 1.9051482536448667}
62,72,Leadership,{'weight': 2.052509468643381}
62,72,Seeking Help,{'weight': 0.5535036599011081}
62,72,Morale,{'weight': 0.1494114556667694}
62,72,Seeking Input,{'weight': 1.3138084908721823}
62,72,Monitoring,{'weight': 0.02561867127169266}
62,46,Leadership,{'weight': 0.6336913225737218}
62,46,Responding,{'weight': 0.233122009623613}
62,46,Seeking Help,{'weight': 0.08576079462509835}
62,46,Morale,{'weight': 0.03154963320110002}
62,46,Seeking Input,{'weight': 0.011606461431184656}
62,46,Monitoring,{'weight': 0.00426977854528211}
62,30,Leadership,{'weight': 1.2673826451474437}
62,30,Morale,{'weight': 0.264671642824713}
62,30,Responding,{'weight': 0.31888280424871135}
62,30,Seeking Help,{'weight': 0.11731042782619837}
62,30,Seeking Input,{'weight': 0.023212922862369312}
62,30,Monitoring,{'weight': 0.00853955709056422}
62,17,Leadership,{'weight': 1.9010739677211657}
62,17,Morale,{'weight': 0.29622127602581305}
62,17,Responding,{'weight': 0.5520048138723244}
62,17,Seeking Help,{'weight': 0.20307122245129672}
62,17,Seeking Input,{'weight': 0.03481938429355397}
62,17,Monitoring,{'weight': 0.012809335635846332}
62,69,Responding,{'weight': 1.0999353418209479}
62,69,Morale,{'weight': 0.29622127602581305}
62,69,Seeking Input,{'weight': 0.10897371748746766}
62,69,Leadership,{'weight': 1.2989322783485437}
62,69,Seeking Help,{'weight': 0.18312805068138135}
62,69,Monitoring,{'weight': 0.012809335635846332}
62,61,Responding,{'weight': 0.6336913225737218}
62,61,Morale,{'weight': 0.233122009623613}
62,61,Leadership,{'weight': 0.08576079462509835}
62,61,Seeking Help,{'weight': 0.03154963320110002}
62,61,Seeking Input,{'weight': 0.011606461431184656}
62,61,Monitoring,{'weight': 0.00426977854528211}
62,20,Leadership,{'weight': 2.1341959773447785}
62,20,Responding,{'weight': 0.7851268234959374}
62,20,Seeking Help,{'weight': 0.28883201707639505}
62,20,Morale,{'weight': 0.10625536103448471}
62,20,Seeking Input,{'weight': 0.6685107068672758}
