source,target,relation,weight
72,31,Leadership,{'weight': 12.759308767113657}
72,31,Responding,{'weight': 6.07551084217935}
72,31,Seeking Help,{'weight': 5.5262519329224995}
72,31,Morale,{'weight': 1.8687330000785334}
72,31,Seeking Input,{'weight': 0.31030755430136525}
72,31,Monitoring,{'weight': 1.4598879034045946}
72,1,Morale,{'weight': 0.6336913225737218}
72,1,Leadership,{'weight': 0.233122009623613}
72,1,Responding,{'weight': 0.08576079462509835}
72,1,Seeking Help,{'weight': 0.03154963320110002}
72,1,Seeking Input,{'weight': 0.011606461431184656}
72,1,Monitoring,{'weight': 0.00426977854528211}
72,11,Morale,{'weight': 1.0787726596268334}
72,11,Leadership,{'weight': 1.2873331710476112}
72,11,Responding,{'weight': 2.538839576218588}
72,11,Seeking Help,{'weight': 1.3345561974733444}
72,11,Seeking Input,{'weight': 0.10118840178820795}
72,11,Monitoring,{'weight': 0.6593099938454144}
72,29,Seeking Help,{'weight': 1.1856961364460463}
72,29,Leadership,{'weight': 1.0383349214475315}
72,29,Responding,{'weight': 1.5862654493961552}
72,29,Morale,{'weight': 0.12619853280440008}
72,29,Seeking Input,{'weight': 0.046425845724738624}
72,29,Monitoring,{'weight': 0.01707911418112844}
72,20,Leadership,{'weight': 0.9525741268224331}
72,20,Responding,{'weight': 0.9525741268224333}
72,20,Seeking Help,{'weight': 0.7510017503999202}
72,20,Morale,{'weight': 0.29622127602581305}
72,20,Seeking Input,{'weight': 0.03481938429355397}
72,20,Monitoring,{'weight': 0.012809335635846332}
72,32,Leadership,{'weight': 1.5005046547710568}
72,32,Responding,{'weight': 0.5520048138723244}
72,32,Seeking Help,{'weight': 0.20307122245129672}
72,32,Morale,{'weight': 0.6967905889759218}
72,32,Seeking Input,{'weight': 0.03481938429355397}
72,32,Monitoring,{'weight': 0.012809335635846332}
72,0,Responding,{'weight': 2.518753487890607}
72,0,Seeking Help,{'weight': 1.5287393149464399}
72,0,Morale,{'weight': 0.30660822703279844}
72,0,Seeking Input,{'weight': 0.11279486321939261}
72,0,Leadership,{'weight': 3.498945878548505}
72,0,Monitoring,{'weight': 0.03415822836225688}
72,10,Responding,{'weight': 0.6336913225737218}
72,10,Seeking Help,{'weight': 0.233122009623613}
72,10,Morale,{'weight': 0.08576079462509835}
72,10,Seeking Input,{'weight': 0.03154963320110002}
72,10,Leadership,{'weight': 0.011606461431184656}
72,10,Monitoring,{'weight': 0.00426977854528211}
72,34,Responding,{'weight': 0.6336913225737218}
72,34,Seeking Help,{'weight': 0.233122009623613}
72,34,Leadership,{'weight': 0.08576079462509835}
72,34,Morale,{'weight': 0.03154963320110002}
72,34,Seeking Input,{'weight': 0.011606461431184656}
72,34,Monitoring,{'weight': 0.00426977854528211}
72,28,Responding,{'weight': 0.8668133321973348}
72,28,Seeking Help,{'weight': 0.31888280424871135}
72,28,Leadership,{'weight': 0.7194521171988202}
72,28,Morale,{'weight': 0.06309926640220004}
72,28,Seeking Input,{'weight': 0.023212922862369312}
72,28,Monitoring,{'weight': 0.00853955709056422}
72,30,Responding,{'weight': 1.8234617449434694}
72,30,Seeking Help,{'weight': 1.8750974664725504}
72,30,Leadership,{'weight': 3.3198921137908246}
72,30,Morale,{'weight': 0.854538754981422}
72,30,Seeking Input,{'weight': 0.09285169144947725}
72,30,Monitoring,{'weight': 0.03415822836225688}
72,46,Leadership,{'weight': 3.634700632115835}
72,46,Responding,{'weight': 1.337131637368262}
72,46,Seeking Help,{'weight': 1.6961866182729355}
72,46,Morale,{'weight': 0.22084743240770013}
72,46,Seeking Input,{'weight': 0.08124523001829259}
72,46,Monitoring,{'weight': 0.02988844981697477}
72,62,Leadership,{'weight': 1.5320542879721568}
72,62,Responding,{'weight': 0.563611275303509}
72,62,Seeking Help,{'weight': 1.4389042343976404}
72,62,Morale,{'weight': 0.3277709092269131}
72,62,Seeking Input,{'weight': 0.03908916283883608}
72,62,Monitoring,{'weight': 0.09857013026094469}
72,6,Leadership,{'weight': 1.5005046547710568}
72,6,Responding,{'weight': 0.5520048138723244}
72,6,Seeking Help,{'weight': 0.8052129118239185}
72,6,Morale,{'weight': 0.09464889960330006}
72,6,Seeking Input,{'weight': 0.03481938429355397}
72,6,Monitoring,{'weight': 0.012809335635846332}
72,74,Leadership,{'weight': 0.6336913225737218}
72,74,Responding,{'weight': 0.233122009623613}
72,74,Seeking Help,{'weight': 0.08576079462509835}
72,74,Morale,{'weight': 0.03154963320110002}
72,74,Seeking Input,{'weight': 0.011606461431184656}
72,74,Monitoring,{'weight': 0.00426977854528211}
72,37,Leadership,{'weight': 0.6336913225737218}
72,37,Responding,{'weight': 0.233122009623613}
72,37,Seeking Help,{'weight': 0.08576079462509835}
72,37,Morale,{'weight': 0.03154963320110002}
72,37,Seeking Input,{'weight': 0.011606461431184656}
72,37,Monitoring,{'weight': 0.00426977854528211}
20,0,Seeking Help,{'weight': 8.67785444412455}
20,0,Leadership,{'weight': 11.801598468761894}
20,0,Responding,{'weight': 8.806010672039633}
20,0,Morale,{'weight': 2.7815710540494547}
20,0,Seeking Input,{'weight': 2.4967482953848914}
20,0,Monitoring,{'weight': 0.43621706563958296}
20,29,Seeking Help,{'weight': 2.3057175665949754}
20,29,Leadership,{'weight': 1.8236572375650502}
20,29,Responding,{'weight': 1.5045789406947576}
20,29,Morale,{'weight': 0.24350896063059843}
20,29,Seeking Input,{'weight': 0.0895819403570233}
20,29,Monitoring,{'weight': 0.03295535415759521}
20,30,Responding,{'weight': 0.7194521171988202}
20,30,Seeking Help,{'weight': 0.8668133321973348}
20,30,Leadership,{'weight': 0.31888280424871135}
20,30,Morale,{'weight': 0.06309926640220004}
20,30,Seeking Input,{'weight': 0.023212922862369312}
20,30,Monitoring,{'weight': 0.00853955709056422}
20,31,Leadership,{'weight': 0.6336913225737218}
20,31,Responding,{'weight': 0.23312200962361296}
20,31,Seeking Help,{'weight': 0.08576079462509835}
20,31,Morale,{'weight': 0.03154963320110002}
20,31,Seeking Input,{'weight': 0.011606461431184656}
20,31,Monitoring,{'weight': 0.00426977854528211}
20,17,Seeking Help,{'weight': 0.7194521171988202}
20,17,Leadership,{'weight': 0.8668133321973348}
20,17,Responding,{'weight': 0.31888280424871135}
20,17,Morale,{'weight': 0.06309926640220004}
20,17,Seeking Input,{'weight': 0.023212922862369312}
20,17,Monitoring,{'weight': 0.00853955709056422}
20,32,Leadership,{'weight': 1.2673826451474437}
