source,target,relation,weight
72,31,Leadership,{'weight': 0.6336913225737218}
72,31,Responding,{'weight': 0.233122009623613}
72,31,Seeking Help,{'weight': 0.08576079462509835}
72,31,Morale,{'weight': 0.03154963320110002}
72,31,Seeking Input,{'weight': 0.011606461431184656}
72,31,Monitoring,{'weight': 0.00426977854528211}
72,1,Morale,{'weight': 0.6336913225737218}
72,1,Leadership,{'weight': 0.233122009623613}
72,1,Responding,{'weight': 0.08576079462509835}
72,1,Seeking Help,{'weight': 0.03154963320110002}
72,1,Seeking Input,{'weight': 0.011606461431184656}
72,1,Monitoring,{'weight': 0.00426977854528211}
72,11,Morale,{'weight': 0.7510017503999202}
72,11,Leadership,{'weight': 0.330489265679896}
72,11,Responding,{'weight': 1.3531434397725421}
72,11,Seeking Help,{'weight': 0.497793652448326}
72,11,Seeking Input,{'weight': 0.05476255606346933}
72,11,Monitoring,{'weight': 0.012809335635846332}
72,29,Seeking Help,{'weight': 1.0999353418209479}
72,29,Leadership,{'weight': 0.40464359887380963}
72,29,Responding,{'weight': 1.3531434397725421}
72,29,Morale,{'weight': 0.09464889960330006}
72,29,Seeking Input,{'weight': 0.03481938429355397}
72,29,Monitoring,{'weight': 0.012809335635846332}
72,20,Leadership,{'weight': 0.6336913225737218}
72,20,Responding,{'weight': 0.233122009623613}
72,20,Seeking Help,{'weight': 0.08576079462509835}
72,20,Morale,{'weight': 0.03154963320110002}
72,20,Seeking Input,{'weight': 0.011606461431184656}
72,20,Monitoring,{'weight': 0.00426977854528211}
72,32,Leadership,{'weight': 0.6336913225737218}
72,32,Responding,{'weight': 0.233122009623613}
72,32,Seeking Help,{'weight': 0.08576079462509835}
72,32,Morale,{'weight': 0.03154963320110002}
72,32,Seeking Input,{'weight': 0.011606461431184656}
72,32,Monitoring,{'weight': 0.00426977854528211}
72,0,Responding,{'weight': 1.2673826451474437}
72,0,Seeking Help,{'weight': 0.466244019247226}
72,0,Morale,{'weight': 0.11731042782619837}
72,0,Seeking Input,{'weight': 0.043156094632284675}
72,0,Leadership,{'weight': 0.097367256056283}
72,0,Monitoring,{'weight': 0.00853955709056422}
72,10,Responding,{'weight': 0.6336913225737218}
72,10,Seeking Help,{'weight': 0.233122009623613}
72,10,Morale,{'weight': 0.08576079462509835}
72,10,Seeking Input,{'weight': 0.03154963320110002}
72,10,Leadership,{'weight': 0.011606461431184656}
72,10,Monitoring,{'weight': 0.00426977854528211}
72,34,Responding,{'weight': 0.6336913225737218}
72,34,Seeking Help,{'weight': 0.233122009623613}
72,34,Leadership,{'weight': 0.08576079462509835}
72,34,Morale,{'weight': 0.03154963320110002}
72,34,Seeking Input,{'weight': 0.011606461431184656}
72,34,Monitoring,{'weight': 0.00426977854528211}
72,28,Responding,{'weight': 0.6336913225737218}
72,28,Seeking Help,{'weight': 0.233122009623613}
72,28,Leadership,{'weight': 0.08576079462509835}
72,28,Morale,{'weight': 0.03154963320110002}
72,28,Seeking Input,{'weight': 0.011606461431184656}
72,28,Monitoring,{'weight': 0.00426977854528211}
72,30,Responding,{'weight': 0.6336913225737218}
72,30,Seeking Help,{'weight': 0.233122009623613}
72,30,Leadership,{'weight': 0.08576079462509835}
72,30,Morale,{'weight': 0.03154963320110002}
72,30,Seeking Input,{'weight': 0.011606461431184656}
72,30,Monitoring,{'weight': 0.00426977854528211}
20,0,Seeking Help,{'weight': 6.306462171232456}
20,0,Leadership,{'weight': 9.106366656008523}
20,0,Responding,{'weight': 6.717681791649869}
20,0,Morale,{'weight': 2.387431127327887}
20,0,Seeking Input,{'weight': 2.188770287239575}
20,0,Monitoring,{'weight': 0.293287966541692}
20,29,Seeking Help,{'weight': 2.3057175665949754}
20,29,Leadership,{'weight': 1.8236572375650502}
20,29,Responding,{'weight': 1.5045789406947576}
20,29,Morale,{'weight': 0.24350896063059843}
20,29,Seeking Input,{'weight': 0.0895819403570233}
20,29,Monitoring,{'weight': 0.03295535415759521}
20,30,Responding,{'weight': 0.7194521171988202}
20,30,Seeking Help,{'weight': 0.8668133321973348}
20,30,Leadership,{'weight': 0.31888280424871135}
20,30,Morale,{'weight': 0.06309926640220004}
20,30,Seeking Input,{'weight': 0.023212922862369312}
20,30,Monitoring,{'weight': 0.00853955709056422}
20,31,Leadership,{'weight': 0.6336913225737218}
20,31,Responding,{'weight': 0.23312200962361296}
20,31,Seeking Help,{'weight': 0.08576079462509835}
20,31,Morale,{'weight': 0.03154963320110002}
20,31,Seeking Input,{'weight': 0.011606461431184656}
20,31,Monitoring,{'weight': 0.00426977854528211}
20,17,Seeking Help,{'weight': 0.7194521171988202}
20,17,Leadership,{'weight': 0.8668133321973348}
20,17,Responding,{'weight': 0.31888280424871135}
20,17,Morale,{'weight': 0.06309926640220004}
20,17,Seeking Input,{'weight': 0.023212922862369312}
20,17,Monitoring,{'weight': 0.00853955709056422}
20,32,Leadership,{'weight': 1.2673826451474437}
