source,target,relation,weight
72,31,Model Extraction,{'weight': 0.6652409557748218}
72,31,Atomspace Visualizer,{'weight': 0.24472847105479764}
72,31,GHOST,{'weight': 0.09003057317038046}
72,1,Model Extraction,{'weight': 0.6652409557748218}
72,1,Atomspace Visualizer,{'weight': 0.24472847105479764}
72,1,GHOST,{'weight': 0.09003057317038046}
72,11,Model Extraction,{'weight': 0.6652409557748218}
72,11,Atomspace Visualizer,{'weight': 0.24472847105479764}
72,11,GHOST,{'weight': 0.09003057317038046}
72,29,Model Extraction,{'weight': 0.6652409557748218}
72,29,GHOST,{'weight': 0.24472847105479764}
72,29,Atomspace Visualizer,{'weight': 0.09003057317038048}
20,0,Model Extraction,{'weight': 2.660963823099287}
20,0,GHOST,{'weight': 0.9789138842191905}
20,0,Atomspace Visualizer,{'weight': 0.36012229268152185}
20,29,Model Extraction,{'weight': 2.660963823099287}
20,29,GHOST,{'weight': 0.9789138842191906}
20,29,Atomspace Visualizer,{'weight': 0.36012229268152185}
20,30,Model Extraction,{'weight': 0.6652409557748218}
20,30,GHOST,{'weight': 0.24472847105479764}
20,30,Atomspace Visualizer,{'weight': 0.09003057317038046}
20,31,Model Extraction,{'weight': 0.6652409557748218}
20,31,Atomspace Visualizer,{'weight': 0.24472847105479764}
20,31,GHOST,{'weight': 0.09003057317038048}
0,20,Model Extraction,{'weight': 0.6652409557748218}
0,20,GHOST,{'weight': 0.24472847105479764}
0,20,Atomspace Visualizer,{'weight': 0.09003057317038046}
0,29,Model Extraction,{'weight': 1.3304819115496436}
0,29,GHOST,{'weight': 0.4894569421095953}
0,29,Atomspace Visualizer,{'weight': 0.18006114634076092}
0,30,Model Extraction,{'weight': 0.6652409557748218}
0,30,GHOST,{'weight': 0.24472847105479764}
0,30,Atomspace Visualizer,{'weight': 0.09003057317038046}
0,17,Model Extraction,{'weight': 0.6652409557748218}
0,17,Atomspace Visualizer,{'weight': 0.24472847105479764}
0,17,GHOST,{'weight': 0.09003057317038046}
0,17,Tools Usage,{'weight': 0.8705303038115675}
