source,target,relation,weight
72,31,Model Extraction,{'weight': 26.490266824287453}
72,31,Atomspace Visualizer,{'weight': 10.07498031559428}
72,31,GHOST,{'weight': 13.43475286011823}
72,1,Model Extraction,{'weight': 0.6652409557748218}
72,1,Atomspace Visualizer,{'weight': 0.24472847105479764}
72,1,GHOST,{'weight': 0.09003057317038046}
72,11,Model Extraction,{'weight': 3.905692294154085}
72,11,Atomspace Visualizer,{'weight': 1.4501528658519025}
72,11,GHOST,{'weight': 2.6441548399940125}
72,29,Model Extraction,{'weight': 3.8156617209837043}
72,29,GHOST,{'weight': 2.2447284710547977}
72,29,Atomspace Visualizer,{'weight': 0.9396098079614976}
72,20,GHOST,{'weight': 1.1546978978844171}
72,20,Atomspace Visualizer,{'weight': 0.9999999999999999}
72,20,Model Extraction,{'weight': 0.8453021021155827}
72,32,GHOST,{'weight': 2.6005736310607848}
72,32,Atomspace Visualizer,{'weight': 1.4937340747851298}
72,32,Model Extraction,{'weight': 3.905692294154085}
72,0,Model Extraction,{'weight': 10.227619940352659}
72,0,GHOST,{'weight': 4.5626785321747}
72,0,Atomspace Visualizer,{'weight': 4.209701527472639}
72,10,Model Extraction,{'weight': 0.6652409557748218}
72,10,GHOST,{'weight': 0.24472847105479764}
72,10,Atomspace Visualizer,{'weight': 0.09003057317038046}
72,34,Model Extraction,{'weight': 1.9957228673244654}
72,34,GHOST,{'weight': 0.5794875152799758}
72,34,Atomspace Visualizer,{'weight': 0.42478961739555854}
72,28,GHOST,{'weight': 0.8453021021155827}
72,28,Model Extraction,{'weight': 1.5752103826044412}
72,28,Atomspace Visualizer,{'weight': 0.5794875152799758}
72,30,GHOST,{'weight': 2.249005603730332}
72,30,Model Extraction,{'weight': 5.81138458830817}
72,30,Atomspace Visualizer,{'weight': 1.9396098079614976}
72,46,Atomspace Visualizer,{'weight': 2.9606959237423074}
72,46,Model Extraction,{'weight': 6.7213540151377895}
72,46,GHOST,{'weight': 2.317950061119903}
72,62,GHOST,{'weight': 4.305118663093299}
72,62,Model Extraction,{'weight': 3.8846061783732755}
72,62,Atomspace Visualizer,{'weight': 0.810275158533424}
72,6,GHOST,{'weight': 2.4851798094340607}
72,6,Model Extraction,{'weight': 2.0646673247140366}
72,6,Atomspace Visualizer,{'weight': 0.4501528658519023}
72,74,Model Extraction,{'weight': 0.6652409557748218}
72,74,GHOST,{'weight': 0.24472847105479764}
72,74,Atomspace Visualizer,{'weight': 0.09003057317038046}
72,37,Model Extraction,{'weight': 0.6652409557748218}
72,37,Atomspace Visualizer,{'weight': 0.24472847105479764}
72,37,GHOST,{'weight': 0.09003057317038046}
72,13,GHOST,{'weight': 0.6652409557748218}
72,13,Atomspace Visualizer,{'weight': 0.24472847105479764}
72,13,Model Extraction,{'weight': 0.09003057317038045}
20,0,Model Extraction,{'weight': 3.5709332499289066}
20,0,GHOST,{'weight': 1.1589750305599515}
20,0,Atomspace Visualizer,{'weight': 1.2700917195111412}
20,0,Topic Analysis,{'weight': 33.97065916646501}
20,0,Text Preprocessing,{'weight': 46.07403147224295}
20,0,Prediction Experiments,{'weight': 32.95530936129203}
20,0,Chatbot development,{'weight': 0.6364086465588308}
20,0,Android development,{'weight': 0.23412165725273665}
20,0,Avatar development,{'weight': 0.0861285444362687}
20,0,Components Integration,{'weight': 0.03168492079612427}
20,0,Tools Usage,{'weight': 0.011656230956039605}
20,29,Model Extraction,{'weight': 3.9914457346489307}
20,29,GHOST,{'weight': 1.1589750305599515}
20,29,Atomspace Visualizer,{'weight': 0.8495792347911172}
20,30,Model Extraction,{'weight': 1.3304819115496436}
20,30,GHOST,{'weight': 0.3347590442251781}
20,30,Atomspace Visualizer,{'weight': 0.3347590442251781}
20,31,Model Extraction,{'weight': 0.6652409557748218}
20,31,Atomspace Visualizer,{'weight': 0.24472847105479764}
20,31,GHOST,{'weight': 0.09003057317038048}
20,17,Model Extraction,{'weight': 0.6652409557748218}
20,17,Atomspace Visualizer,{'weight': 0.24472847105479764}
20,17,GHOST,{'weight': 0.09003057317038046}
20,17,Topic Analysis,{'weight': 0.9099694268296195}
20,17,Text Preprocessing,{'weight': 0.3347590442251781}
20,17,Prediction Experiments,{'weight': 0.7552715289452022}
20,32,Model Extraction,{'weight': 1.3304819115496436}
20,32,Atomspace Visualizer,{'weight': 0.4894569421095953}
20,32,GHOST,{'weight': 0.18006114634076092}
20,46,Topic Analysis,{'weight': 24.015349805172967}
20,46,Prediction Experiments,{'weight': 15.169288021440204}
20,46,Text Preprocessing,{'weight': 29.81536217338681}
20,34,Topic Analysis,{'weight': 8.863520062592459}
20,34,Prediction Experiments,{'weight': 6.364399425357055}
20,34,Text Preprocessing,{'weight': 9.772080512050476}
20,19,Topic Analysis,{'weight': 5.734185413164392}
20,19,Prediction Experiments,{'weight': 4.694881336906699}
20,19,Text Preprocessing,{'weight': 7.570933249928904}
20,10,Text Preprocessing,{'weight': 1.3304819115496436}
20,10,Topic Analysis,{'weight': 0.4894569421095953}
20,10,Prediction Experiments,{'weight': 0.18006114634076092}
20,6,Text Preprocessing,{'weight': 5.150420765208882}
20,6,Topic Analysis,{'weight': 3.734185413164393}
20,6,Prediction Experiments,{'weight': 3.115393821626724}
20,47,Topic Analysis,{'weight': 2.2236423552739883}
20,47,Text Preprocessing,{'weight': 4.90141516147855}
20,47,Prediction Experiments,{'weight': 0.8749424832474609}
20,77,Chatbot development,{'weight': 0.6364086465588308}
