source,target,weight
72,31,928.0
72,1,16.0
72,11,60.0
72,29,68.0
72,20,12.0
72,32,156.0
72,0,200.0
72,10,8.0
72,34,16.0
72,28,12.0
72,30,72.0
72,46,176.0
72,62,76.0
72,6,48.0
72,74,8.0
72,37,4.0
72,17,24.0
72,13,24.0
72,63,24.0
72,79,28.0
72,4,64.0
72,3,108.0
72,8,8.0
72,78,4.0
31,72,928.0
31,20,44.0
31,0,3380.0
31,29,160.0
31,62,1076.0
31,11,132.0
31,28,24.0
31,6,64.0
31,30,112.0
31,32,1000.0
31,46,284.0
31,34,40.0
31,35,40.0
31,74,36.0
31,69,44.0
31,1,16.0
31,73,20.0
31,17,24.0
31,37,56.0
31,61,28.0
31,16,4.0
31,25,24.0
31,4,776.0
31,10,16.0
31,3,604.0
31,77,200.0
31,63,40.0
31,8,56.0
31,79,100.0
1,72,16.0
1,31,16.0
1,0,16.0
1,46,8.0
1,3,4.0
11,72,60.0
11,31,132.0
11,0,48.0
11,62,32.0
11,61,4.0
11,32,8.0
29,72,68.0
29,31,160.0
29,20,64.0
29,0,120.0
29,62,16.0
29,6,8.0
29,17,16.0
29,46,8.0
29,32,36.0
20,72,12.0
20,31,44.0
20,29,64.0
20,0,6116.0
20,30,16.0
20,17,36.0
20,32,120.0
20,62,32.0
20,34,412.0
20,46,1760.0
20,19,504.0
20,6,160.0
20,10,128.0
20,47,200.0
20,4,12.0
20,77,4.0
20,63,8.0
32,72,156.0
32,31,1000.0
32,11,8.0
32,29,36.0
32,20,120.0
32,0,364.0
32,30,44.0
32,17,32.0
32,62,128.0
32,6,12.0
32,34,4.0
32,73,12.0
32,61,16.0
32,46,12.0
32,22,56.0
32,16,8.0
32,25,16.0
32,35,32.0
32,74,8.0
32,28,12.0
32,37,40.0
0,72,200.0
0,31,3380.0
0,1,16.0
0,11,48.0
0,29,120.0
0,20,6116.0
0,32,364.0
0,30,144.0
0,17,596.0
0,10,684.0
0,37,140.0
0,62,1740.0
0,25,8.0
0,63,704.0
0,6,384.0
0,46,3232.0
0,69,84.0
0,34,1156.0
0,61,8.0
0,4,2580.0
0,77,4652.0
0,5,36.0
0,8,328.0
0,3,2044.0
0,19,424.0
0,47,216.0
0,79,892.0
0,78,128.0
0,81,4.0
10,72,8.0
10,31,16.0
10,20,128.0
10,0,684.0
10,17,56.0
10,46,60.0
10,6,28.0
10,19,40.0
10,63,264.0
10,3,100.0
10,77,220.0
10,4,1876.0
10,79,44.0
10,78,40.0
10,8,44.0
34,72,16.0
34,31,40.0
34,20,412.0
34,32,4.0
34,0,1156.0
34,17,12.0
34,46,536.0
34,6,56.0
34,47,48.0
34,19,104.0
28,72,12.0
28,31,24.0
28,32,12.0
28,77,12.0
30,72,72.0
30,31,112.0
30,20,16.0
30,32,44.0
30,0,144.0
30,6,8.0
30,62,8.0
30,46,12.0
46,72,176.0
46,31,284.0
46,1,8.0
46,29,8.0
46,20,1760.0
46,32,12.0
46,0,3232.0
46,10,60.0
46,34,536.0
46,30,12.0
46,17,192.0
46,62,4.0
46,63,24.0
46,6,176.0
46,69,40.0
46,4,404.0
46,5,20.0
46,106,8.0
46,19,328.0
46,47,240.0
46,77,1496.0
46,79,184.0
46,8,148.0
46,3,1472.0
46,78,48.0
46,12,8.0
46,104,28.0
46,88,12.0
46,103,20.0
46,105,4.0
46,45,4.0
46,81,8.0
62,72,76.0
62,31,1076.0
62,11,32.0
62,29,16.0
62,20,32.0
62,32,128.0
62,0,1740.0
62,30,8.0
62,46,4.0
62,17,8.0
62,25,16.0
62,6,144.0
62,63,4.0
62,69,8.0
62,61,4.0
6,72,48.0
6,31,64.0
6,29,8.0
6,20,160.0
6,32,12.0
6,0,384.0
6,10,28.0
6,34,56.0
6,30,8.0
6,46,176.0
6,62,144.0
6,47,4.0
6,19,24.0
6,4,52.0
6,77,20.0
6,3,16.0
74,72,8.0
74,31,36.0
74,32,8.0
37,72,4.0
37,31,56.0
37,32,40.0
37,0,140.0
37,17,8.0
17,72,24.0
17,31,24.0
17,29,16.0
17,20,36.0
17,32,32.0
17,0,596.0
17,10,56.0
17,34,12.0
17,46,192.0
17,62,8.0
17,37,8.0
17,61,4.0
17,63,44.0
17,5,104.0
17,19,28.0
17,85,28.0
17,77,84.0
17,3,96.0
17,8,16.0
17,79,48.0
17,4,40.0
17,101,16.0
13,72,24.0
63,72,24.0
63,31,40.0
63,20,8.0
63,0,704.0
63,10,264.0
63,46,24.0
63,62,4.0
63,17,44.0
63,77,284.0
63,3,156.0
63,4,1064.0
63,78,12.0
63,79,100.0
63,8,184.0
79,72,28.0
79,31,100.0
79,0,892.0
79,10,44.0
79,46,184.0
79,17,48.0
79,69,12.0
79,63,100.0
79,4,836.0
79,77,976.0
79,3,696.0
79,45,4.0
79,8,108.0
79,78,128.0
79,101,4.0
79,98,8.0
4,72,64.0
4,31,776.0
4,20,12.0
4,0,2580.0
4,10,1876.0
4,46,404.0
4,6,52.0
4,17,40.0
4,69,60.0
4,63,1064.0
4,79,836.0
4,5,4.0
4,77,1388.0
4,8,516.0
4,3,1648.0
4,78,372.0
4,45,16.0
4,12,4.0
4,101,8.0
4,88,20.0
4,103,8.0
4,81,4.0
4,98,12.0
3,72,108.0
3,31,604.0
3,1,4.0
3,0,2044.0
3,10,100.0
3,46,1472.0
3,6,16.0
3,17,96.0
3,69,56.0
3,63,156.0
3,79,696.0
3,4,1648.0
3,77,2712.0
3,5,8.0
3,78,196.0
3,8,452.0
3,101,20.0
3,104,28.0
3,88,8.0
3,103,20.0
3,105,12.0
3,45,8.0
3,39,4.0
3,40,4.0
3,81,16.0
3,98,12.0
8,72,8.0
8,31,56.0
8,0,328.0
8,10,44.0
8,46,148.0
8,17,16.0
8,69,8.0
8,63,184.0
8,79,108.0
8,4,516.0
8,3,452.0
8,77,480.0
8,78,28.0
8,98,12.0
78,72,4.0
78,0,128.0
78,10,40.0
78,46,48.0
78,63,12.0
78,79,128.0
78,4,372.0
78,3,196.0
78,8,28.0
78,77,180.0
35,31,40.0
35,32,32.0
69,31,44.0
69,0,84.0
69,46,40.0
69,62,8.0
69,4,60.0
