source,target,weight
72,31,956.0
72,1,16.0
72,11,60.0
72,29,68.0
72,20,12.0
72,32,180.0
72,0,204.0
72,10,8.0
72,34,16.0
72,28,12.0
72,30,72.0
72,46,176.0
72,62,76.0
72,6,48.0
72,74,8.0
72,37,4.0
72,17,28.0
72,13,24.0
72,63,24.0
72,79,32.0
72,4,68.0
72,3,124.0
72,8,8.0
72,78,4.0
31,72,956.0
31,20,44.0
31,0,3520.0
31,29,160.0
31,62,1076.0
31,11,132.0
31,28,24.0
31,6,64.0
31,30,128.0
31,32,1108.0
31,46,312.0
31,34,40.0
31,35,40.0
31,74,36.0
31,69,44.0
31,1,16.0
31,73,20.0
31,17,36.0
31,37,56.0
31,61,36.0
31,16,4.0
31,25,24.0
31,4,820.0
31,52,12.0
31,10,24.0
31,3,720.0
31,77,240.0
31,63,40.0
31,8,64.0
31,79,108.0
1,72,16.0
1,31,16.0
1,0,16.0
1,32,4.0
1,46,8.0
1,3,4.0
11,72,60.0
11,31,132.0
11,0,48.0
11,62,32.0
11,61,4.0
11,32,32.0
29,72,68.0
29,31,160.0
29,20,64.0
29,0,120.0
29,62,16.0
29,6,8.0
29,17,24.0
29,46,20.0
29,32,44.0
20,72,12.0
20,31,44.0
20,29,64.0
20,0,6496.0
20,30,16.0
20,17,36.0
20,32,120.0
20,62,32.0
20,34,416.0
20,46,1880.0
20,19,528.0
20,6,164.0
20,10,280.0
20,47,204.0
20,4,16.0
20,77,4.0
20,63,8.0
20,3,4.0
32,72,180.0
32,31,1108.0
32,1,4.0
32,11,32.0
32,29,44.0
32,20,120.0
32,0,408.0
32,30,52.0
32,17,36.0
32,62,132.0
32,6,12.0
32,34,4.0
32,73,12.0
32,61,24.0
32,46,44.0
32,22,56.0
32,16,8.0
32,25,16.0
32,35,32.0
32,74,8.0
32,28,12.0
32,37,40.0
0,72,204.0
0,31,3520.0
0,1,16.0
0,11,48.0
0,29,120.0
0,20,6496.0
0,32,408.0
0,30,144.0
0,17,612.0
0,10,720.0
0,37,140.0
0,62,1748.0
0,25,8.0
0,63,712.0
0,6,392.0
0,46,3380.0
0,69,96.0
0,34,1172.0
0,61,8.0
0,16,140.0
0,74,84.0
0,4,2728.0
0,7,4.0
0,77,4708.0
0,5,164.0
0,84,40.0
0,93,4.0
0,56,8.0
0,106,16.0
0,48,12.0
0,8,344.0
0,3,2472.0
0,19,424.0
0,47,216.0
0,79,928.0
0,78,128.0
0,81,4.0
10,72,8.0
10,31,24.0
10,20,280.0
10,0,720.0
10,17,56.0
10,46,68.0
10,6,28.0
10,19,40.0
10,63,264.0
10,3,120.0
10,77,220.0
10,4,1876.0
10,79,44.0
10,78,40.0
10,8,44.0
34,72,16.0
34,31,40.0
34,20,416.0
34,32,4.0
34,0,1172.0
34,17,12.0
34,46,536.0
34,6,56.0
34,47,48.0
34,19,104.0
28,72,12.0
28,31,24.0
28,32,12.0
28,77,12.0
30,72,72.0
30,31,128.0
30,20,16.0
30,32,52.0
30,0,144.0
30,6,8.0
30,62,8.0
30,46,12.0
30,17,12.0
46,72,176.0
46,31,312.0
46,1,8.0
46,29,20.0
46,20,1880.0
46,32,44.0
46,0,3380.0
46,10,68.0
46,34,536.0
46,30,12.0
46,17,200.0
46,62,4.0
46,63,24.0
46,6,192.0
46,16,16.0
46,74,28.0
46,69,116.0
46,4,452.0
46,33,16.0
46,5,44.0
46,106,16.0
46,19,328.0
46,47,240.0
46,77,1512.0
46,79,184.0
46,8,168.0
46,3,1548.0
46,78,48.0
46,12,8.0
46,104,28.0
46,88,12.0
46,103,20.0
46,105,4.0
46,45,4.0
46,81,8.0
62,72,76.0
62,31,1076.0
62,11,32.0
62,29,16.0
62,20,32.0
62,32,132.0
62,0,1748.0
62,30,8.0
62,46,4.0
62,17,8.0
62,25,16.0
62,6,144.0
62,63,4.0
62,69,8.0
62,61,4.0
6,72,48.0
6,31,64.0
6,29,8.0
6,20,164.0
6,32,12.0
6,0,392.0
6,10,28.0
6,34,56.0
6,30,8.0
6,46,192.0
6,62,144.0
6,47,4.0
6,19,24.0
6,4,52.0
6,77,20.0
6,3,16.0
74,72,8.0
74,31,36.0
74,32,8.0
74,0,84.0
74,46,28.0
74,5,16.0
37,72,4.0
37,31,56.0
37,32,40.0
37,0,140.0
37,17,16.0
17,72,28.0
17,31,36.0
17,29,24.0
17,20,36.0
17,32,36.0
17,0,612.0
17,10,56.0
17,34,12.0
17,30,12.0
17,46,200.0
17,62,8.0
17,37,16.0
17,61,4.0
17,12,4.0
17,69,4.0
17,63,48.0
17,5,104.0
17,19,28.0
17,85,28.0
17,77,108.0
17,3,104.0
17,8,16.0
17,79,48.0
17,4,44.0
17,101,16.0
13,72,24.0
63,72,24.0
63,31,40.0
63,20,8.0
63,0,712.0
63,10,264.0
63,46,24.0
63,62,4.0
63,17,48.0
63,77,284.0
63,3,164.0
63,4,1100.0
63,78,12.0
63,79,100.0
63,8,188.0
79,72,32.0
79,31,108.0
79,0,928.0
79,10,44.0
79,46,184.0
79,17,48.0
79,69,16.0
79,63,100.0
79,4,852.0
79,77,984.0
79,3,764.0
79,45,4.0
79,8,112.0
79,78,128.0
79,101,4.0
79,98,8.0
4,72,68.0
4,31,820.0
4,20,16.0
4,0,2728.0
4,10,1876.0
4,46,452.0
4,6,52.0
4,17,44.0
4,69,108.0
4,63,1100.0
4,79,852.0
4,5,4.0
4,77,1480.0
4,8,568.0
4,3,1860.0
4,78,372.0
4,45,16.0
4,12,4.0
4,101,8.0
4,88,20.0
4,103,8.0
4,81,4.0
4,98,12.0
3,72,124.0
3,31,720.0
3,1,4.0
3,20,4.0
3,0,2472.0
3,10,120.0
3,46,1548.0
3,6,16.0
3,17,104.0
3,69,164.0
3,63,164.0
3,79,764.0
3,4,1860.0
3,77,3200.0
3,5,8.0
3,78,196.0
3,8,488.0
3,101,20.0
3,104,28.0
3,88,8.0
3,103,20.0
3,105,12.0
3,45,8.0
3,39,4.0
3,40,4.0
3,81,16.0
3,98,12.0
8,72,8.0
8,31,64.0
8,0,344.0
8,10,44.0
8,46,168.0
8,17,16.0
8,69,24.0
8,63,188.0
8,79,112.0
8,4,568.0
8,3,488.0
8,77,480.0
8,78,32.0
8,98,12.0
78,72,4.0
78,0,128.0
78,10,40.0
78,46,48.0
78,63,12.0
78,79,128.0
78,4,372.0
78,3,196.0
78,8,32.0
78,77,184.0
35,31,40.0
35,32,32.0
69,31,44.0
69,0,96.0
69,46,116.0
69,62,8.0
69,17,4.0
69,4,108.0
69,3,164.0
69,79,16.0
69,77,208.0
69,8,24.0
73,31,20.0
73,32,12.0
61,31,36.0
61,11,4.0
61,32,24.0
61,0,8.0
61,62,4.0
61,17,4.0
61,52,16.0
16,31,4.0
16,32,8.0
16,0,140.0
16,46,16.0
25,31,24.0
25,32,16.0
25,0,8.0
25,62,16.0
52,31,12.0
52,61,16.0
77,31,240.0
77,20,4.0
77,0,4708.0
77,10,220.0
77,28,12.0
77,46,1512.0
77,6,20.0
77,17,108.0
77,69,208.0
77,63,284.0
77,79,984.0
77,4,1480.0
77,3,3200.0
77,8,480.0
77,78,184.0
77,12,4.0
77,39,4.0
77,40,8.0
77,23,24.0
77,103,8.0
77,5,16.0
19,20,528.0
19,0,424.0
19,10,40.0
19,34,104.0
19,46,328.0
19,6,24.0
19,17,28.0
19,47,44.0
47,20,204.0
47,0,216.0
47,34,48.0
47,46,240.0
47,6,4.0
47,19,44.0
22,32,56.0
7,0,4.0
5,0,164.0
5,46,44.0
5,74,16.0
5,17,104.0
5,4,4.0
5,3,8.0
5,77,16.0
84,0,40.0
93,0,4.0
56,0,8.0
106,0,16.0
